"CardName","Program","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","MaxValue","isMax","newMax","x2017.04.04.1","x2017.04.04","x2017.04.03","x2017.03.23","x2017.03.22","x2017.03.21","x2017.03.19","x2017.03.18","x2017.03.16","x2017.03.15","x2017.03.14","x2017.03.13","x2017.03.10","x2017.03.09","x2017.03.07","x2017.03.06","x2017.03.03","x2017.03.02","x2017.03.01","x2017.02.28","x2017.02.27","x2017.02.24","x2017.02.23","x2017.02.22","x2017.02.21","x2017.02.16","x2017.02.15","x2017.02.13"
"Chase Freedom Unlimited","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/chase-freedom-unlimited?iCELL=61FY","$150 bonus after you spend $500 on purchases in the first 3 months from account opening.",150,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/freedom_unlimited_card.png",0.021,150,TRUE,FALSE,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
"Chase Sapphire Preferred","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/chase-sapphire-preferred?iCELL=61FY","50,000 bonus points after you spend $4,000 on purchases in the first 3 months from account opening. That's $625 toward travel when redeemed through Chase Ultimate Rewards<U+00AE>.",0,50000,0,0,1,95,4000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/sapphire_preferred_card.png",0.021,1050,TRUE,FALSE,1050,1050,1050,1050,1050,1050,1050,1050,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955
"Chase Sapphire Reserve","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/chase-sapphire-reserve?iCELL=61FY","50,000 bonus points after you spend $4,000 on purchases in the first 3 months from account opening.",0,50000,0,300,0,450,4000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/sapphire_reserve_card.png",0.021,1350,FALSE,FALSE,900,900,900,900,900,900,900,900,1350,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
"Chase Slate","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/chase-slate?iCELL=61FY","Intro balance transfer offer Pay no balance transfer fee when you transfer a balance during the first 60 days your account is open.<U+0086> After the first 60 days your account is open, the fee for future balance transfers is 5% of the amount transferred, with a minimum of $5.<U+0086>",0,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/slate_card.png",0.021,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choice Privileges Visa Signature Card","Choice Privileges","Barclay","https://home.barclaycardus.com/cards/choice-privileges-visa-signature-card.html","40,000 bonus points after you spend $1,000 in purchases in the first 90 days  $0 annual fee",0,40000,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/choice1.png",0.006,240,TRUE,FALSE,240,240,240,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
"Citi AAdvantage Executive World Elite Mastercard","American","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-executive-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-aadvantage-executive-credit-card~4XEIWGP711C2L10201W","Don't pass this offer up - apply today Earn 50,000 American Airlines AAdvantage® bonus miles after making $5,000 in purchases within the first 3 months of account opening. 2 Plus, Admirals Club® membership. Annual Fee $$4501",0,50000,0,0,0,450,5000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-executive-credit-card.jpg",0.015,300,TRUE,FALSE,300,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citi AAdvantage Gold World Elite Mastercard","American","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-gold-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4XRW12V731C2111111W","Earn 25,000 American Airlines AAdvantage® bonus miles after making $750 in purchases within the first 3 months of account opening2 Enjoy our lowest intro APR on purchases and balance transfers. Annual Fee: $50 (Fee waived for the first 12 months)1",0,25000,0,0,1,50,750,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-gold-elite-credit-card.jpg",0.015,375,TRUE,FALSE,375,375,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citi AAdvantage Platinum Select World Elite Mastercard","American","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-platinum-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-aadvantage-platinum-elite-credit-card~4XSX173721C2L10201W","Don't pass this up - apply today Earn 30,000 American Airlines AAdvantage® bonus miles after making $1,000 in purchases within the first 3 months of account opening.2 Annual Fee: $95 (Fee waived for the first 12 months)1",0,30000,0,0,1,95,1000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-platinum-elite-credit-card.jpg",0.015,450,TRUE,FALSE,450,450,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citi Diamond Preferred Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-diamond-preferred-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-diamond-preferred-credit-card~4DNZ5S9721C2L10201W","Our lowest intro APR for 21 months plus VIP access.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-diamond-preferred-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citi Double Cash Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-double-cash-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-double-cash-credit-card~4T5ZMCS711C2L10203W","Earn Cash Back TWICE with 1% on purchases and 1% as you pay for those purchases in full or over time.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-double-cash-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citi Hilton HHonors Reserve Card","Hilton","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=hilton-hhonors-reserve-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~62HZ17A711C2L00101W","Earn two weekend night certificates  after making $2,500 in purchases within the first 4 months of account opening.1 Annual Fee: $951",0,0,0,0,0,95,2500,"https://www.citi.com/CRD/images/card_no_reflection/hilton-hhonors-reserve-card.jpg",0.006,205,FALSE,FALSE,-95,-95,-95,-95,-95,-95,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,205,205,205
"Citi Hilton HHonors Visa Signature Card","Hilton","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=hilton-hhonors-visa-signature-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~hilton-hhonors-visa-signature-card~FPSHCN5731C2L10202W","Earn 40,000 Hilton HHonorsTM Bonus Points after making $1,000 in purchases within the first 4 months of account opening.",0,75000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/hilton-hhonors-visa-signature-card.jpg",0.006,450,TRUE,FALSE,450,450,240,450,450,450,450,450,450,450,450,450,240,450,450,450,450,200,200,200,200,200,200,200,375,375,375,200
"Citi Prestige Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-prestige-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-prestige-card~4KMZ13Q671C2H10203W","Earn 40,000 bonus points   after making $4,000 in purchases within the first 3 months of account opening. Annual Fee $450",0,40000,0,250,0,450,4000,"https://www.citi.com/CRD/images/card_no_reflection/citi-prestige-card.jpg",0.01,650,FALSE,FALSE,200,200,200,300,300,300,300,200,650,200,300,300,300,200,300,300,300,200,440,440,440,440,600,600,440,600,600,440
"Citi Secured Mastercard","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-secured-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~1P5ZA2Q711C2L00101W","Start building credit for tomorrow with a secured credit card  No Annual Fee1",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-secured-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citi Simplicity Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-simplicity-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-simplicity-credit-card~4DPZW5F721C2L10203W","To be simple is to be great. This is the only card with No Late Fees, No Penalty Rate and No Annual Fee - Ever. Give it a try and apply to find out what the Citi Simplicity® Card can do for you.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-simplicity-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citi ThankYou Preferred Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-credit-card-preferred-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~1NMFFPK721C2L00101W","Earn 15,000 bonus points aftermaking $1,000 in purchases within 3 months of account opening2 Earn 2X on Dining Out and Entertainment2Earn 1X on Everything else2",0,15000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-credit-card-preferred-card.jpg",0.01,240,FALSE,FALSE,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,240,240,240,240,240,240,240,240,240,240
"Citi ThankYou Preferred Card for College Students","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-preferred-credit-cards-for-college-students&category=view-all-credit-cards&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4CYCZ4J6Y0ZL000001W","Earn 2,500 bonus points after spending $500 within the first 3 months of account opening.2",0,2500,0,0,0,0,500,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-preferred-credit-cards-for-college-students.jpg",0.01,40,FALSE,FALSE,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,40,40,40,40,40,40,40,40,40,40
"Citi ThankYou Premier Card","Citi ThankYou Rewards","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-premier-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4MMZ5QD711C2111111W","Earn 30,000 bonus points after making $3,000 in purchases within the first 3 months of account opening.2 Annual Fee $95 (Fee waived for the first 12 months)1",0,30000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-premier-credit-card.jpg",0.01,385,FALSE,FALSE,300,300,300,300,300,300,300,300,205,205,205,205,205,205,205,205,205,205,385,385,385,385,385,385,385,385,385,385
"CitiBusiness AAdvantage Platinum Select World Mastercard","American","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citibusiness-aadvantage-platinum-select-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6HXZEL6731C2111111W","Earn 30,000 American<U+00A0>Airlines AAdvantage® bonus miles after spending $1,000 in purchases within the first 3 months of account opening. Annual Fee $95 (Fee waived for the first 12 months)1",0,30000,0,0,1,95,1000,"https://www.citi.com/CRD/images/card_no_reflection/citibusiness-aadvantage-platinum-select-credit-card.jpg",0.015,450,TRUE,FALSE,450,450,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Club Carlson Premier Rewards Visa Signature Card","Club Carlson","US","https://www.usbank.com/credit-cards/club-carlson-premier-rewards-visa-signature-credit-card.html","Earn 85,000 Bonus Gold Points after you spend $2,500 on your card in the first 90 days",0,85000,0,0,0,75,2500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?1484",0.004,340,FALSE,FALSE,265,265,265,265,265,265,265,265,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Club Carlson Rewards Visa Card","Club Carlson","US","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-credit-card.html","Earn 30,000 Bonus Gold Points after you spend $1,000 on your card in the first 90 days",0,30000,0,0,0,0,1000,"https://www.usbank.com//images/Credit_Cards_110x170/club_carlson_rewards_visa_card.png?1484",0.004,120,TRUE,FALSE,120,120,120,120,120,120,120,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Club Carlson Rewards Visa Signature Card","Club Carlson","US","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-signature-credit-card.html","Earn 60,000 Bonus Gold Points after you spend $1,500 on your card in the first 90 days",0,60000,0,0,0,50,1500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?489",0.004,240,FALSE,FALSE,190,190,190,190,190,190,190,190,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costco Anywhere Visa Business Card by Citi","Costco","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=Citi-costco-anywhere-visa-business-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6VID127661C2111111W","GO BIG with cash back rewards for business Earn Costco cash rewards everywhere Visa® is accepted.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/Citi-costco-anywhere-visa-business-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costco Anywhere Visa Card by Citi","Costco","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=Citi-costco-anywhere-visa-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~GIDC125661C2111111W","GO BIG with cash back rewards Earn Costco cash rewards everywhere Visa® is accepted.",0,0,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/Citi-costco-anywhere-visa-credit-card.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delta Reserve Credit Card from American Express","Delta","Amex","https://www.americanexpress.com/us/credit-cards/card/delta-reserve/","Earn 10,000 Medallion<U+00AE> Qualification Miles (MQMs)Earn 10,000 Medallion<U+00AE> Qualification Miles (MQMs) and 10,000 bonus miles after your first purchase on the Card.<U+0086>",0,10000,0,0,0,450,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/delta-reserve.png",0.012,190,FALSE,FALSE,-330,-330,-330,-260,-260,-260,-260,-260,190,-260,-260,-260,-260,-260,-260,-260,-260,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330
"Delta Reserve for Business Credit Card","Delta","Amex","https://www.americanexpress.com/us/small-business/credit-cards/delta-reserve-business-credit-card/44281?linknav=us-acq-open-aj-allcards-deltareserve-lm","Earn 10,000 Medallion<U+00AE> Qualification Miles (MQMs) and 10,000 bonus miles after your first purchase on the Card.<U+0086>",0,10000,0,0,0,450,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-756.png?version=8",0.012,190,FALSE,FALSE,-330,-330,-330,-260,-260,-260,-260,-260,190,-260,-260,-260,-260,-260,-260,-260,-260,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330
"Diamond Resorts International MasterCard","Diamond Resorts","Barclay","https://home.barclaycardus.com/cards/diamond-resorts-international-mastercard.html","2,500 bonus Diamond Plus Points after your first purchase",0,2500,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/diamond1.png",0.01,25,TRUE,FALSE,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Disney Premier Visa Card","Disney","Chase","https://creditcards.chase.com/credit-cards/disney-premier?iCELL=61FY","$200 Disney Gift Card after you spend $500 on purchases in the first 3 months from account opening.",200,0,0,0,0,49,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/disney_premier_card.png",0.01,200,FALSE,FALSE,151,151,151,151,151,151,151,151,200,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
"Disney Rewards Visa Card","Disney","Chase","https://creditcards.chase.com/credit-cards/disney-rewards?iCELL=61FY","$50 Disney Gift Card after first purchase with the credit card.",50,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/disney_card.png",0.01,50,TRUE,FALSE,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"EXPEDIA + CARD from Citi","EXPEDIA","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=expedia-plus&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~expedia-plus~4WCIE95711C2L10201W","Earn 15,000 Expedia+ bonus points  after $1,000 in purchases within 3 months of account opening",0,15000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/expedia-plus.jpg",0.01,240,FALSE,FALSE,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,240,240,240,240,240,240,240,240,240,240
"EXPEDIA + VOYAGER CARD from Citi","EXPEDIA","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=expedia-plus-voyager&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~expedia-plus-voyager~4WHIE97711C2L10201W","Earn a 25,000 Expedia+ bonus points after $2,000 in purchases within 3 months of account opening Annual Fee: $95",0,25000,0,0,0,95,2000,"https://www.citi.com/CRD/images/card_no_reflection/expedia-plus-voyager.jpg",0.01,305,FALSE,FALSE,155,155,155,155,155,155,155,155,250,155,155,155,155,155,155,155,155,155,305,305,305,305,305,305,305,305,305,305
"Fred Meyer Rewards Visa Card","FlexPoints","US","https://www.usbank.com/credit-cards/fred-meyer-rewards-visa-credit-card.html","Earn Rewards and save up to $1.25 off a gallon of fuel for ONE YEAR!3",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/reward_fredMeyer_card_S.jpg",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frontier Airlines World MasterCard","Frontier","Barclay","https://home.barclaycardus.com/cards/frontier-airlines-world-mastercard.html","Earn 40,000 bonus miles",0,40000,0,0,1,69,500,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/FTA_card_rCMY_Frontier_Fee_WM_F76877_EMV_230x157_v2.png",0.011,440,TRUE,FALSE,440,440,440,440,440,440,440,440,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
"Gold Card from American Express","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/gold/","Get 2X Points2X points for flights booked directly with airlines and at US restaurants.1X points on other purchases.Terms and limitations apply.<U+0087>",0,0,0,0,1,160,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/gold-card.png",0.019,0,TRUE,FALSE,0,0,0,0,0,0,0,0,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160
"Gold Delta SkyMiles Business Credit Card","Delta","Amex","https://www.americanexpress.com/us/small-business/credit-cards/gold-delta-skymiles-business-credit-card/44281?linknav=us-acq-open-aj-allcards-golddelta-lm","Earn 30,000 bonus miles after you make $1,000 in purchases on your new Card within your first 3 months<U+0086> and a $50 statement credit after you make a Delta purchase with your new Card within your first 3 months.<U+0086>",50,30000,0,0,1,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-113.png?version=8",0.012,410,TRUE,FALSE,410,410,410,410,410,410,410,410,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,410,315,315
"Gold Delta SkyMiles Credit Card","Delta","Amex","https://www.americanexpress.com/us/credit-cards/card/delta-skymiles/","Earn 30,000 Bonus Milesafter you make $1,000 in purchases on your new Card within your first 3 months<U+0086> and a $50 statement credit after you make a Delta purchase with your new Card within your first 3 months.<U+0086>",50,30000,0,0,1,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/gold-delta-skymiles.png",0.012,410,TRUE,FALSE,410,410,410,410,410,410,410,410,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
"Gymboree Visa Card","FlexPoints","US","https://www.usbank.com/credit-cards/gymboree-visa-credit-card.html","You'll receive a 5% discount instantly on all Gymboree clothing store purchases.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_gymboree.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harley Davidson Visa Secured Card","FlexPoints","US","https://www.usbank.com/credit-cards/harley-davidson-visa-secured-credit-card.html","If you<U+0092>re looking to earn H-D<U+0099> Genuine Rewards points while you build or re-establish your credit history,1 the Harley-Davidson<U+00AE> Secured Card is for you.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sec.png?6-15",0.01,1,FALSE,FALSE,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harley Davidson Visa Signature Card","FlexPoints","US","https://www.usbank.com/credit-cards/harley-davidson-visa-signature-credit-card.html","The H-D<U+0099> Visa Signature<U+00AE> card helps you earn more rewards faster. It comes with benefits that make it a classic through and through.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sig.png?6-15",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hawaiian Airlines World Elite MasterCard","Hawaiian","Barclay","https://home.barclaycardus.com/cards/hawaiian-airlines-world-elite-mastercard.html","Earn 35,000 bonus miles",0,35000,0,0,0,89,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/hawaiian1.png",0.012,420,FALSE,FALSE,331,331,331,331,331,331,331,331,420,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331
"Hilton Honors Card from American Express","Hilton","Amex","https://www.americanexpress.com/us/credit-cards/card/hilton-hhonors/","Limited Time OfferEarn 80,000 Hilton Honors Bonus Pointsafter you spend $2,000 in purchases on the Card within your first 3 months of Card Membership.<U+0086> Offer ends 05/31/2017.",0,80000,0,0,0,0,2000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/hilton-hhonors.png",0.006,480,TRUE,FALSE,480,480,480,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hilton Honors Surpass Card from American Express","Hilton","Amex","https://www.americanexpress.com/us/credit-cards/card/hilton-hhonors-surpass/","Limited Time OfferEarn 100,000 Hilton Honors Bonus Pointsafter you spend $3,000 in purchases on the Card within your first 3 months of Card Membership. Plus, earn a free weekend night award after your first anniversary of Card Membership.<U+0086> Offer Ends 5/31/2017.**Some hotels may have mandatory services and resort charges. Terms apply.",0,1e+05,0,0,0,75,3000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/hilton-hhonors-surpass.png",0.006,525,TRUE,FALSE,525,525,525,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holland America Line Rewards Visa Card","Holland","Barclay","https://home.barclaycardus.com/cards/holland-america-line-rewards-visa-card.html","5,000 bonus points after first purchase",0,5000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/holland1.png",0.01,50,TRUE,FALSE,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"IHG Rewards Club Select Credit Card","IHG","Chase","https://creditcards.chase.com/credit-cards/ihg-rewards-club?iCELL=61FY","60,000 bonus points After you spend $1,000 on purchases in the first 3 months of account opening.",0,60000,0,0,1,49,1000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ihg_card.png",0.007,420,TRUE,FALSE,420,420,420,420,420,420,420,420,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
"Ink Business Cash","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/small-business/ink-cash?iCELL=61FY","$300 bonus cash back after you spend $3,000 on purchases in the first 3 months after account opening.",300,NA,0,0,0,0,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ink_cash_card.png",0.021,300,NA,NA,NA,NA,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
"Ink Business Preferred","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/small-business/ink-business-preferred?iCELL=61FY","80,000 bonus points after you spend $5,000 on purchases in the first 3 months after account opening. That's $1,000 toward travel rewards when you redeem through Chase Ultimate Rewards<U+00AE>.",0,80000,0,0,0,95,5000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ink_preferred_card.png",0.021,1680,FALSE,FALSE,1585,1585,1585,1585,1585,1585,1585,1585,1680,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
"JetBlue Card","JetBlue","Barclay","https://home.barclaycardus.com/cards/jetblue-card.html","Earn 5,000 bonus points after you spend $1,000 on purchases in the first 90 days",0,5000,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/JB1_JBM_card_rRGB_NoFee_Green_WM_230x157.png",0.012,60,TRUE,FALSE,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
